CODE,MARKETING PERSON,RREGION,CUSTOMER NAME,,,
102088,Sakthivel,South,BIOME BEVERAGES,,,
102090,Sakthivel,South,FUELUP FOODS AND BEVERAGES (OPC) PV,,,
102095,Sakthivel,South,SUJAL AQUA,,,
100868,Balvinder,North,ARCHIAN FOODS,,,
100874,Balvinder,North,FRESCA FOODS PRIVATE LIMITED,,,
100879,Balvinder,North,HONEY- G FOODIES ZONE PVT LTD,,,
100733,Balvinder,North,ICE BEVERAGES PRIVATE LIMITED,,,
100426,Balvinder,North,INDIAN RAILWAY CATERING AND TOURISM,,,
100243,Balvinder,North,JAYANTI COLD STORAGE,,,
100647,Balvinder,North,KASHMIR HYGIENICS PVT LTD,,,
100894,Balvinder,North,RIDHI SIDHI ENTERPRISES,,,
100956,Balvinder,North,SURU FOODS AND BEVERAGES PVT LTD,,,
100398,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
101054,Balvinder,North,SVRE PACKAGING (P) LTD,,,
100889,Balvinder,North,TULSI ENTERPRISES,,,
101095,Balvinder,North,SABAR SABARKANTHA DCMPU LTD,,,
101112,Balvinder,North,BLUEBELL PREMIUM WATER (P) LTD,,,
101125,Balvinder,North,S S P BOTTLING,,,
100875,Balvinder,North,SHRI BANKEY BEHARI FOODS,,,
101180,Balvinder,North,RAJ FLAVOURS INDIA LIMITED,,,
101191,Balvinder,North,HYDRO AQUA FOOD & BEVERAGES LLP,,,
101192,Balvinder,North,PRERNA BEVERAGES PRIVATE LIMITED,,,
101244,Balvinder,North,ARCHIAN FOODS INDIA PRIVATE LIMITED,,,
101247,Balvinder,North,NONI FOOD & BEVERAGES,,,
100604,Balvinder,North,VHV BEVERAGES PVT. LTD,,,
100679,Balvinder,North,VHV BEVERAGES PVT. LTD,,,
101302,Balvinder,North,JIVO WELLNESS PVT LTD,,,
101327,Balvinder,North,FLINGO FOOD AND AGRO PVT LTD,,,
101332,Balvinder,North,HARI ARJUN AGRO,,,
101517,Balvinder,North,GLOBAL BUSINESS SYSTEMS,,,
101566,Balvinder,North,KK SOLAR RO AND CHEMICAL IND,,,
101536,Balvinder,North,KARMAH BEVERAGES LLP,,,
101387,Balvinder,North,SHUBH FOOD AGRO INDUSTRIES,,,
101663,Balvinder,North,ICE BERG FOODS LIMITED,,,
101611,Balvinder,North,Tata Consumer Product Limited,,,
101741,Balvinder,North,NFB POLYMERS PRIVATE LIMITED,,,
101342,Balvinder,North,HYGEN BEVERAGES PVT LTD,,,
100897,Balvinder,North,TPAC PACKAGING INDIA PVT LIMITED,,,
101912,Balvinder,North,SAI PLASTIC INDUSTRIES,,,
101917,Balvinder,North,MARCSUN FOODS AND BEVERAGES PVT LTD,,,
101904,Balvinder,North,GREENZ,,,
101515,Balvinder,North,BRAHMGANGE BEVERAGES PRIVATE LIMITED,,,
101948,Balvinder,North,SILVERTONE INDUSTRIES PVT LTD,,,
101964,Balvinder,North,NH BEVERAGES PRIVATE LIMITED,,,
101968,Balvinder,North,BOOTUP FOOD AND BEVERAGES PRIVATE LIMITED,,,
101782,Balvinder,North,Asian Lecto industries ltd,,,
102017,Balvinder,North,MILKCO BEVERAGES PRIVATE LIMITED,,,
102039,Balvinder,North,PKG GLOBAL LLP,,,
102059,Balvinder,North,IOTA NANOTECHNOLOGY PVT LTD,,,
101561,Balvinder,North,BALAJI AGRO FOODS,,,
102092,Balvinder,North,J B AND SONS,,,
102134,Balvinder,North,ARCHIAN FOODS INDIA PRIVATE LIMITED,,,
102115,Balvinder,North,JAYPORE FOODS PRIVATE LIMITED,,,
102175,Balvinder,North,HECTOR BEVERAGES PRIVATE LIMITED,,,
102127,Balvinder,North,SHREE BALA JI ENTERPRISES,,,
102142,Balvinder,North,LACED PRODUCTS PVT LTD,,,
102183,Balvinder,North,Tata Consumer Products LTD Howrah New,,,
102184,Balvinder,North,VHV BEVERAGES PVT. LTD,,,
102182,Balvinder,North,TASTOZ FOOD & BEVERAGES PRIVATE LIMITED,,,
102117,Balvinder,North,IMPERIAL NATURAL BEVERAGES,,,
102231,Balvinder,North,IOTA NANOTECHNOLOGY PRIVATE LIMITED,,,
102230,Balvinder,North,PLIME AGRO INDUSTRIES LIMITED,,,
101038,Balvinder,North,ARCHIAN FOODS PRIVATE LIMITED,,,
100453,Balvinder,North,INDIAN RAILWAY CATERING & TOURISM C BIHAR,,,
100421,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
101609,Balvinder,North,Tata Consumer Product Limited,,,
101879,Balvinder,North,BALAJI AGRO FOODS,,,
100998,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
100997,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
100511,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
100712,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
101003,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
100681,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
101007,Balvinder,North,NOURISH CO BEVERAGES LTD,,,
